"500061272333|10{20{30{40{50{60{70{80{90{100{110{120{130|IR - GERADOR DE ENERGIA{V.NIVEL OLEO LUBRIFICANTE{V.NIVEL DE LIQUIDO REFRIGERANTE{V.NIVEL DO TANQUE DE COMBUS{V.DANOS NO MOTOR{V.DANOS NAS MANGUEIRAS{V.ABACADEIRAS FROUXAS{V.CORREIA SOLTA OU DESFIADA{V.RUÍDOS DO MOTOR{V.BOIA DE COMBUSTIVEL{V.CONEXÕES DA BATERIA{V.INDICADOR DE FILTRO DE AR{LIMPAR FILTRO DE AR(CASO PRECISE)|GEE16010001|GERADOR DE ENERGIA ELÉTRICA|GERADOR DE ENERGIA ELÉTRICA|1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|04/12/2022|PMSEL03|EL}"
"500061242820|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010007|RUA G - PORTA PALLET CONGELADOS|ESTRUTURAS PORTA PALLET - CONGELADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061242821|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010008|RUA H - PORTA PALLET CONGELADOS|ESTRUTURAS PORTA PALLET - CONGELADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061242822|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010009|RUA I - PORTA PALLET CONGELADOS|ESTRUTURAS PORTA PALLET - CONGELADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061242823|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010010|RUA J - PORTA PALLET CONGELADOS|ESTRUTURAS PORTA PALLET - CONGELADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061242824|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010011|RUA K - PORTA PALLET CONGELADOS|ESTRUTURAS PORTA PALLET - CONGELADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061242825|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010012|RUA L - PORTA PALLET CONGELADOS|ESTRUTURAS PORTA PALLET - CONGELADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061242826|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010013|RUA M - PORTA PALLET CONGELADOS|ESTRUTURAS PORTA PALLET - CONGELADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061242827|10{20{50{60{70{80{90{100{110{120{130{140|IR_PUSH BACK{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA{V_ES_ PROTETOR GUIA LATERAL{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010014|RUA N - PUSH-BACK CONGELADOS|ESTRUTURAS PUSH-BACK - CONGELADOS|2,5{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061242836|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010015|RUA A - PORTA PALLET RESFRIADOS|ESTRUTURAS PORTA PALLET - RESFRIADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061242837|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010016|RUA B - PORTA PALLET RESFRIADOS|ESTRUTURAS PORTA PALLET - RESFRIADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061242838|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010017|RUA C - PORTA PALLET RESFRIADOS|ESTRUTURAS PORTA PALLET - RESFRIADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061242839|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010018|RUA D - PORTA PALLET RESFRIADOS|ESTRUTURAS PORTA PALLET - RESFRIADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061242842|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010019|RUA E - PORTA PALLET RESFRIADOS|ESTRUTURAS PORTA PALLET - RESFRIADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061242843|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010020|RUA F - PORTA PALLET RESFRIADOS|ESTRUTURAS PORTA PALLET - RESFRIADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061242844|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010021|RUA G - PORTA PALLET RESFRIADOS|ESTRUTURAS PORTA PALLET - RESFRIADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061242845|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010022|RUA H - PORTA PALLET RESFRIADOS|ESTRUTURAS PORTA PALLET - RESFRIADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061242846|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010023|RUA I - PORTA PALLET RESFRIADOS|ESTRUTURAS PORTA PALLET - RESFRIADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061242847|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010024|RUA J - PORTA PALLET RESFRIADOS|ESTRUTURAS PORTA PALLET - RESFRIADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|02/12/2022|PMSME01|ME}"
"500061344408|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010001|RUA A - PORTA PALLET CONGELADOS|ESTRUTURAS PORTA PALLET - CONGELADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|09/12/2022|PMSME01|ME}"
"500061344409|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010002|RUA B - PORTA PALLET CONGELADOS|ESTRUTURAS PORTA PALLET - CONGELADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|09/12/2022|PMSME01|ME}"
"500061344410|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010003|RUA C - PORTA PALLET CONGELADOS|ESTRUTURAS PORTA PALLET - CONGELADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|09/12/2022|PMSME01|ME}"
"500061344411|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010004|RUA D - PORTA PALLET CONGELADOS|ESTRUTURAS PORTA PALLET - CONGELADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|09/12/2022|PMSME01|ME}"
"500061344412|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010005|RUA E - PORTA PALLET CONGELADOS|ESTRUTURAS PORTA PALLET - CONGELADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|09/12/2022|PMSME01|ME}"
"500061344413|10{20{50{60{70{80{90{100{110{120{130|IR_PORTA PALLETS{V_ES_VERTICAL. E RETITUDE NIVEIS 1 E 2{V_ES_ PROTETOR DE COLUNA MOD. CANELEIRA{V_ES_ PROTETOR DE COLUNA COM GUIA LAT.{V_ES_ PROTETOR LATERAL DE CONJUNTO{V_ES_ PROTETOR TIPO GAIOLA{V_ES_ FIXAÇÃO SAPATAS{V_ES_ FIXAÇÃO LONGARINAS{V_ES_ FIXAÇÃO ELEMENTOS TRAVAMENTO{V_ES_ PISO RACHADURAS{V_ES_ NIVELAM. DE PISO >4mm|PPA16010006|RUA F - PORTA PALLET CONGELADOS|ESTRUTURAS PORTA PALLET - CONGELADOS|0,8{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1{0,1|09/12/2022|PMSME01|ME}"
